ID,Drug,Biomarker,Num of Article,PMID
57,inotersen,TTR,8,32865784;32500375;31117178;31034960;30907141;32833564;32616304;31706583
58,ivacaftor,CFTR,23,30606298;32317365;30929526;30898172;30158635;30073878;29451946;29351449;29146575;28891346;31173911;30140228;32616918;32586737;30995102;28611092;27473897;31784874;31164398;28611092;27768743;27394157;27007499
59,lansoprazole,CYP2C19,28,31479720;28024166;31963319;25303292;32065000;27782887;25473155;25303292;31479720;26502771;32579425;30659924;30399481;27875029;26502771;26369775;26124167;25832023;25473155;32770672;32065000;31846760;30659924;28291036;27981489;26369775;25473155;25303292
60,lesinurad,CYP2C9,4,30442650;30117757;30117757;28067999
61,meclizine,CYP2D6,1,21903894
62,meloxicam,CYP2C9,4,30336288;29024493;29024493;30336288
63,methylene blue,G6PD,1,32561141
64,metoclopramide,CYP2D6,5,31907041;31507424;31507424;27621638;27621638
65,metoprolol,CYP2D6,27,31115220;32752034;31963319;31788248;31536170;31107373;31090092;30445356;30191460;31662775;30800683;31940084;31662775;31228851;31107373;30604050;30191460;32537715;32174823;32029355;31107373;31090092;30965129;30800683;30445356;30325731;30604050
66,migalastat,GLA,3,28756410;29982630;27536442
67,mirabegron,CYP2D6,2,31090092;31090092
68,mivacurium,BCHE,2,18300943;17166756
69,nebivolol,CYP2D6,16,29676238;26528073;32379356;29098786;26214065;29676238;29117660;29098786;27538917;26528073;24845234;29117660;29098786;28209351;27300331;24845234
70,nefazodone,CYP2D6,7,17574934;17691920;17574934;16841513;14703714;12038880;10628896
71,nortriptyline,CYP2D6,12,31486733;32433340;27101231;23799451;28033366;21854846;31688392;30452773;28296334;25636328;21854846;31486733
72,nusinersen,SMN2,13,32763124;32076758;30221755;29380287;28799578;31991852;32233169;32103257;32056234;31811660;31230718;29614695;28799578
73,omeprazole,CYP2C19,42,32227647;30887238;32100736;30887238;31963319;32227647;31905475;32508959;31713493;31662775;30887238;30800683;32839278;32742601;32579425;32337164;32227647;32216086;31938857;31807051;31662775;31616047;31366830;30993551;30992242;30979536;30916845;30902567;327
74,ondansetron,CYP2D6,3,30058787;31227296;30058787
75,ospemifene,CYP2C9,1,23880855
76,ospemifene,CYP2B6,1,23880855
77,oxcarbazepine,HLA-B,10,29629814;28203102;28203102;31486733;29610167;28203102;29610167;28203102;31486733;29629814
78,paliperidone,CYP2D6,11,31150659;31150659;30281999;28699847;31308582;31308582;31150659;30870237;30864366;28699847;30864366
